Country,Count_2024,Share_OB,,"27,194,470"
Montserrat,10,3.67722E-05,,
Puerto Rico,240,0.000882532,,
Saint Kitts and Nevis,50,0.000183861,,
Saint Lucia,80,0.000294177,,
Saint Vincent and the Grenadines,70,0.000257405,,
Trinidad and Tobago,"1,890",0.006949942,,
Turks and Caicos Islands,0,0,,
British Virgin Islands,20,7.35444E-05,,
United States Virgin Islands,20,7.35444E-05,,
Saint Barthelemy,0,0,,
Saint Martin,0,0,,
Caribbean Netherlands,0,0,,
Curaçao,160,0.000588355,,
Sint Maarten (Dutch part),10,3.67722E-05,,
Benin,100,0.000367722,,
Burkina Faso,70,0.000257405,,
Cameroon,750,0.002757914,,
Cabo Verde,50,0.000183861,,
Cent Africa Rep,270,0.000992849,,
Chad,140,0.000514811,,
Republic of the Congo,"2,560",0.009413679,,
Democratic Republic of the Congo,"8,520",0.031329899,,
Cote d'Ivoire,690,0.002537281,,
Equator Guinea,20,7.35444E-05,,
Gabon,60,0.000220633,,
Gambia,150,0.000551583,,
Ghana,"9,310",0.034234901,,
Guinea,"1,150",0.004228801,,
Guinea-Bissau,30,0.000110317,,
Liberia,"3,720",0.013679252,,
Mali,60,0.000220633,,
Mauritania,50,0.000183861,,
Niger,30,0.000110317,,
Nigeria,"20,620",0.075824239,,
Sao Tome and Principe,20,7.35444E-05,,
Senegal,500,0.001838609,,
Sierra Leone,"4,260",0.01566495,,
Togo,350,0.001287026,,
Angola,580,0.002132787,,
Botswana,"1,930",0.007097031,,
Burundi,"3,450",0.012686403,,
Comoros,30,0.000110317,,
Djibouti,210,0.000772216,,
Eritrea,"6,830",0.0251154,,
Ethiopia,"17,660",0.064939673,,
Kenya,"35,780",0.131570867,,
Lesotho,180,0.000661899,,
Madagascar,380,0.001397343,,
Malawi,"2,040",0.007501525,,
Mauritius,"29,950",0.110132685,,
Mayotte,10,3.67722E-05,,
Mozambique,"1,100",0.00404494,,
Namibia,"1,970",0.00724412,,
Réunion,230,0.00084576,,
Rwanda,"1,500",0.005515827,,
St Helena,40,0.000147089,,
Seychelles,"2,680",0.009854945,,
Somalia,"9,660",0.035521928,,
South Africa,"224,160",0.824285232,,
Eswatini,380,0.001397343,,
Tanzania,"5,090",0.018717041,,
Uganda,"5,360",0.01970989,,
Zambia,"8,730",0.032102115,,
Zimbabwe,"50,440",0.185478886,,
