Country,Count_2024,Share_OB,,
Saint Kitts and Nevis,50,0.000582927,,
Saint Lucia,80,0.000932684,,
Saint Vincent and the Grenadines,70,0.000816098,,
Trinidad and Tobago,"1,890",0.022034649,,
Turks and Caicos Islands,0,0,,
British Virgin Islands,20,0.000233171,,
United States Virgin Islands,20,0.000233171,,
Saint Barthelemy,0,0,,
Saint Martin,0,0,,
Caribbean Netherlands,0,0,,
Curaçao,160,0.001865367,,
Sint Maarten (Dutch part),10,0.000116585,,
Benin,100,0.001165854,,
Burkina Faso,70,0.000816098,,
Cameroon,750,0.008743908,,
Cabo Verde,50,0.000582927,,
Cent Africa Rep,270,0.003147807,,
Chad,140,0.001632196,,
Republic of the Congo,"2,560",0.029845874,,
Democratic Republic of the Congo,"8,520",0.0993308,,
Cote d'Ivoire,690,0.008044396,,
Equator Guinea,20,0.000233171,,
Gabon,60,0.000699513,,
Gambia,150,0.001748782,,
Ghana,"9,310",0.10854105,,
Guinea,"1,150",0.013407326,,
Guinea-Bissau,30,0.000349756,,
Liberia,"3,720",0.043369786,,
Mali,60,0.000699513,,
Mauritania,50,0.000582927,,
Niger,30,0.000349756,,
Nigeria,"20,620",0.240399189,,
Sao Tome and Principe,20,0.000233171,,
Senegal,500,0.005829272,,
Sierra Leone,"4,260",0.0496654,,
Togo,350,0.004080491,,
Angola,580,0.006761956,,
Botswana,"1,930",0.022500991,,
Burundi,"3,450",0.040221979,,
Comoros,30,0.000349756,,
Djibouti,210,0.002448294,,
Eritrea,"6,830",0.079627859,,
Ethiopia,"17,660",0.205889897,,
Kenya,"35,780",0.417142724,,
Lesotho,180,0.002098538,,
Madagascar,380,0.004430247,,
Malawi,"2,040",0.023783431,,
Mauritius,"29,950",0.349173409,,
Mayotte,10,0.000116585,,
Mozambique,"1,100",0.012824399,,
Namibia,"1,970",0.022967333,,
Réunion,230,0.002681465,,
Rwanda,"1,500",0.017487817,,
St Helena,40,0.000466342,,
Seychelles,"2,680",0.031244899,,
Somalia,"9,660",0.11262154,,
South Africa,"224,160",2.613379346,,
Eswatini,380,0.004430247,,
Tanzania,"5,090",0.059341992,,
Uganda,"5,360",0.062489799,,
Zambia,"8,730",0.101779094,,
Zimbabwe,"50,440",0.588056987,,
